,ten_it,ten_it,ten_it,ten_it,ten_it,ten_it,ten_it,ten_it,ten_it,ten_it,ten_it,ten_it,mip_it,mip_it,mip_it,mip_it,mip_it,mip_it,mip_it,mip_it,mip_it,mip_gl,mip_gl,mip_gl,ten_it,ten_it,ten_it,ten_it,ten_it,ten_it,ten_it,ten_it,mip_it,mip_it,mip_it,mip_it,mip_it,mip_it
,1,1,1,1,2,2,2,2,3,3,3,3,1,1,1,2,2,2,3,3,3,0,0,0,4,4,4,4,5,5,5,5,4,4,4,5,5,5
,ten_creation_time,ten_edge_deletion_time,ten_pathfinding_time,ten_execution_time,ten_creation_time,ten_edge_deletion_time,ten_pathfinding_time,ten_execution_time,ten_creation_time,ten_edge_deletion_time,ten_pathfinding_time,ten_execution_time,mip_creation_time,mip_solving_time,mip_execution_time,mip_creation_time,mip_solving_time,mip_execution_time,mip_creation_time,mip_solving_time,mip_execution_time,mip_creation_time,mip_solving_time,mip_execution_time,ten_creation_time,ten_edge_deletion_time,ten_pathfinding_time,ten_execution_time,ten_creation_time,ten_edge_deletion_time,ten_pathfinding_time,ten_execution_time,mip_creation_time,mip_solving_time,mip_execution_time,mip_creation_time,mip_solving_time,mip_execution_time
20b_3s_3et_3nt_87t_122,0.02,0.15,0.02,0.19,0.02,0.15,0.03,0.19,0.02,0.15,0.03,0.2,0.04,0.03,0.08,0.05,0.03,0.09,0.07,0.06,0.13,0.09,0.07,0.16,,,,,,,,,,,,,,
20b_3s_3et_3nt_88t_467,0.02,0.17,0.02,0.21,0.02,0.16,0.03,0.21,0.02,0.21,0.04,0.27,0.04,0.04,0.08,0.05,0.04,0.09,0.07,0.07,0.14,0.08,0.07,0.15,,,,,,,,,,,,,,
20b_3s_3et_3nt_88t_674,0.02,0.19,0.02,0.23,0.02,0.2,0.03,0.25,0.05,0.19,0.03,0.27,0.04,0.03,0.07,0.05,0.03,0.09,0.07,0.05,0.12,0.07,0.12,0.19,,,,,,,,,,,,,,
20b_3s_3et_3nt_88t_930,0.02,0.17,0.01,0.21,0.02,0.16,0.02,0.2,0.02,0.16,0.02,0.2,0.05,0.04,0.09,0.08,0.05,0.13,0.08,0.07,0.15,0.09,0.08,0.17,,,,,,,,,,,,,,
20b_3s_3et_3nt_90t_810,0.02,0.18,0.02,0.22,0.02,0.19,0.02,0.24,0.03,0.22,0.02,0.27,0.03,0.03,0.06,0.05,0.02,0.07,0.08,0.04,0.12,0.08,0.05,0.13,,,,,,,,,,,,,,
20b_3s_3et_3nt_90t_903,0.02,0.2,0.02,0.24,0.05,0.25,0.02,0.31,0.02,0.2,0.02,0.24,0.05,0.06,0.11,0.07,0.07,0.14,0.09,0.09,0.18,0.09,0.11,0.2,,,,,,,,,,,,,,
20b_3s_3et_3nt_91t_271,0.02,0.18,0.02,0.23,0.02,0.18,0.02,0.23,0.02,0.18,0.03,0.23,0.04,0.03,0.07,0.07,0.04,0.11,0.07,0.06,0.13,0.07,0.06,0.13,,,,,,,,,,,,,,
20b_3s_3et_3nt_94t_494,0.02,0.23,0.01,0.27,0.02,0.27,0.02,0.31,0.02,0.26,0.02,0.31,0.06,0.06,0.12,0.1,0.07,0.17,0.09,0.09,0.19,0.09,0.16,0.25,,,,,,,,,,,,,,
20b_3s_3et_3nt_94t_901,0.02,0.23,0.02,0.27,0.02,0.22,0.02,0.27,0.02,0.22,0.03,0.27,0.04,0.04,0.09,0.06,0.05,0.11,0.09,0.07,0.16,0.08,0.07,0.16,,,,,,,,,,,,,,
20b_3s_3et_3nt_96t_20,0.04,0.28,0.01,0.34,0.02,0.28,0.02,0.33,0.02,0.31,0.04,0.37,0.06,0.05,0.11,0.07,0.07,0.13,0.09,0.08,0.17,0.09,0.14,0.23,,,,,,,,,,,,,,
20b_3s_5et_5nt_111t_45,0.03,0.28,0.02,0.33,0.02,0.28,0.03,0.33,0.03,0.29,0.03,0.35,0.1,0.09,0.19,0.12,0.16,0.28,0.14,0.15,0.29,0.22,1.74,1.96,0.05,0.29,0.04,0.38,0.02,0.36,0.06,0.44,0.19,0.21,0.4,0.2,0.27,0.47
20b_3s_5et_5nt_112t_220,0.03,0.3,0.02,0.34,0.02,0.34,0.02,0.38,0.02,0.35,0.02,0.4,0.08,0.08,0.16,0.1,0.11,0.21,0.14,0.15,0.29,0.19,2.37,2.56,0.02,0.4,0.03,0.45,0.03,0.48,0.03,0.54,0.15,0.19,0.34,0.18,0.2,0.38
20b_3s_5et_5nt_114t_736,0.03,0.33,0.02,0.37,0.03,0.32,0.02,0.37,0.03,0.35,0.03,0.4,0.09,0.1,0.19,0.13,0.14,0.27,0.14,0.17,0.31,0.2,3.05,3.25,0.02,0.35,0.05,0.42,0.03,0.46,0.04,0.53,0.17,0.24,0.41,0.22,0.28,0.5
20b_3s_5et_5nt_114t_955,0.03,0.34,0.02,0.38,0.03,0.32,0.02,0.36,0.02,0.34,0.02,0.38,0.06,0.06,0.12,0.08,0.06,0.14,0.12,0.06,0.18,0.14,0.93,1.07,0.02,0.34,0.02,0.38,0.02,0.45,0.02,0.5,0.12,0.06,0.18,0.14,0.08,0.22
20b_3s_5et_5nt_115t_346,0.05,0.39,0.02,0.46,0.03,0.35,0.02,0.39,0.03,0.38,0.02,0.43,0.09,0.1,0.19,0.11,0.14,0.25,0.16,0.18,0.34,0.24,2.52,2.77,0.03,0.42,0.04,0.49,0.03,0.42,0.03,0.48,0.17,0.23,0.4,0.2,0.29,0.49
20b_3s_5et_5nt_115t_596,0.03,0.35,0.02,0.39,0.03,0.35,0.02,0.39,0.03,0.37,0.02,0.41,0.06,0.05,0.11,0.08,0.04,0.12,0.1,0.04,0.14,0.14,0.64,0.78,0.03,0.39,0.03,0.44,0.06,0.43,0.02,0.51,0.12,0.04,0.16,0.16,0.04,0.2
20b_3s_5et_5nt_115t_821,0.03,0.35,0.02,0.4,0.03,0.35,0.02,0.39,0.03,0.37,0.02,0.41,0.08,0.08,0.16,0.12,0.11,0.24,0.12,0.15,0.27,0.2,2.03,2.23,0.03,0.38,0.03,0.44,0.03,0.43,0.02,0.49,0.15,0.22,0.37,0.18,0.19,0.37
20b_3s_5et_5nt_116t_796,0.03,0.37,0.02,0.41,0.02,0.37,0.02,0.41,0.02,0.39,0.02,0.44,0.08,0.09,0.17,0.12,0.11,0.23,0.12,0.13,0.26,0.19,1.65,1.84,0.03,0.44,0.04,0.5,0.03,0.44,0.03,0.49,0.15,0.2,0.34,0.18,0.22,0.4
20b_3s_5et_5nt_117t_492,0.03,0.4,0.02,0.44,0.03,0.39,0.02,0.44,0.03,0.42,0.02,0.47,0.08,0.09,0.17,0.12,0.11,0.23,0.12,0.15,0.27,0.19,2.72,2.91,0.03,0.52,0.02,0.57,0.03,0.45,0.03,0.5,0.15,0.19,0.34,0.18,0.26,0.43
20b_3s_5et_5nt_117t_667,0.03,0.4,0.02,0.44,0.03,0.39,0.03,0.45,0.03,0.43,0.03,0.49,0.07,0.06,0.14,0.09,0.08,0.17,0.11,0.08,0.18,0.16,0.16,0.32,0.03,0.52,0.04,0.59,0.03,0.46,0.04,0.52,0.15,0.08,0.23,0.16,0.1,0.26
20b_5s_5et_5nt_123t_913,0.05,0.33,0.03,0.42,0.04,0.32,0.04,0.4,0.04,0.34,0.05,0.43,0.14,0.1,0.24,0.14,0.15,0.3,0.18,0.16,0.34,0.28,2.49,2.77,0.03,1.02,0.06,1.12,0.03,0.94,0.08,1.05,0.24,0.2,0.45,0.26,0.29,0.55
20b_5s_5et_5nt_128t_833,0.04,0.41,0.02,0.47,0.04,0.41,0.03,0.48,0.04,0.42,0.04,0.49,0.13,0.15,0.29,0.16,0.16,0.33,0.2,0.25,0.45,0.31,1.18,1.49,0.03,1.3,0.06,1.39,0.06,1.23,0.06,1.35,0.27,0.35,0.61,0.29,0.39,0.68
20b_5s_5et_5nt_129t_723,0.04,0.44,0.03,0.51,0.04,0.44,0.04,0.51,0.06,0.46,0.07,0.59,0.12,0.14,0.26,0.17,0.17,0.33,0.18,0.2,0.38,0.26,3.93,4.19,0.05,1.37,0.07,1.48,0.04,1.4,0.06,1.5,0.22,0.27,0.49,0.28,0.31,0.59
20b_5s_5et_5nt_129t_754,0.06,0.46,0.03,0.55,0.04,0.42,0.04,0.5,0.03,0.43,0.07,0.53,0.13,0.12,0.25,0.16,0.17,0.34,0.22,0.25,0.47,0.31,2.91,3.21,0.05,1.34,0.07,1.46,0.06,1.29,0.08,1.42,0.24,0.28,0.52,0.28,0.39,0.68
20b_5s_5et_5nt_129t_757,0.04,0.44,0.04,0.52,0.04,0.43,0.1,0.57,0.06,0.45,0.1,0.61,0.1,0.07,0.17,0.14,0.08,0.22,0.15,0.1,0.25,0.21,17.86,18.07,0.04,1.33,0.09,1.47,0.04,1.38,0.09,1.5,0.18,0.17,0.35,0.23,0.17,0.4
20b_5s_5et_5nt_130t_183,0.04,0.43,0.04,0.51,0.06,0.43,0.08,0.56,0.04,0.47,0.1,0.61,0.12,0.11,0.24,0.13,0.14,0.27,0.16,0.17,0.33,0.24,3.26,3.5,0.04,1.43,0.09,1.56,0.04,1.41,0.09,1.54,0.22,0.2,0.42,0.23,0.25,0.48
20b_5s_5et_5nt_130t_507,0.06,0.45,0.03,0.54,0.04,0.44,0.04,0.53,0.04,0.46,0.08,0.58,0.14,0.16,0.3,0.18,0.26,0.43,0.24,0.32,0.56,0.31,8.56,8.86,0.04,1.4,0.08,1.53,0.06,1.37,0.09,1.52,0.26,0.4,0.67,0.33,0.51,0.84
20b_5s_5et_5nt_132t_403,0.04,0.48,0.03,0.55,0.06,0.49,0.05,0.6,0.04,0.58,0.06,0.68,0.16,0.18,0.35,0.18,0.23,0.41,0.22,0.24,0.46,0.33,21.14,21.46,0.04,1.5,0.11,1.65,0.04,1.53,0.1,1.67,0.28,0.54,0.82,0.31,0.44,0.75
20b_5s_5et_5nt_132t_850,0.04,0.48,0.05,0.57,0.04,0.48,0.1,0.61,0.06,0.54,0.1,0.69,0.14,0.15,0.29,0.2,0.25,0.45,0.22,0.32,0.54,0.33,12.39,12.72,0.04,1.44,0.09,1.57,0.04,1.47,0.1,1.6,0.29,0.45,0.74,0.31,0.99,1.3
20b_5s_5et_5nt_139t_723,0.04,0.63,0.07,0.74,0.04,0.66,0.1,0.79,0.05,0.73,0.08,0.86,0.1,0.09,0.2,0.13,0.11,0.24,0.18,0.14,0.32,0.23,4.92,5.15,0.06,1.99,0.09,2.14,0.04,2.07,0.08,2.19,0.2,0.19,0.39,0.26,0.21,0.46
